method,url,file,line,bodyKeys
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/user/history","src/components/account-management.tsx",43,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/problems","src/components/admin-panel-enhanced.tsx",127,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/general","src/components/admin-panel-enhanced.tsx",144,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/anonymous","src/components/admin-panel-enhanced.tsx",147,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/evaluations","src/components/admin-panel-enhanced.tsx",171,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/stats","src/components/admin-panel-enhanced.tsx",193,""
DELETE,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/problems/${problemId}","src/components/admin-panel-enhanced.tsx",215,""
DELETE,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/posts/${postId}","src/components/admin-panel-enhanced.tsx",240,""
DELETE,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/posts/${postId}/replies/${replyId}","src/components/admin-panel-enhanced.tsx",265,""
DELETE,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/evaluations/${evaluationId}","src/components/admin-panel-enhanced.tsx",290,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/problems","src/components/admin-panel.tsx",93,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/general","src/components/admin-panel.tsx",128,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/anonymous","src/components/admin-panel.tsx",135,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/admin/evaluations","src/components/admin-panel.tsx",172,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/signup","src/components/auth-modal.tsx",42,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/signin","src/components/auth-modal.tsx",66,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/auth/google","src/components/auth-modal.tsx",108,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/auth/kakao","src/components/auth-modal.tsx",130,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/${boardType}","src/components/community-section.tsx",89,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts","src/components/community-section.tsx",208,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/${postId}/like","src/components/community-section.tsx",233,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/community/posts/${postId}/reply","src/components/community-section.tsx",277,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/problem/${problemId}","src/components/loading-section.tsx",163,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/evaluations","src/components/result-analysis-section.tsx",36,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/evaluations","src/components/result-modal.tsx",63,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/evaluations","src/components/result-section.tsx",62,""
GET,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/user/history","src/components/storage-section.tsx",74,""
DELETE,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/user/history/problem/${problemId}","src/components/storage-section.tsx",137,""
PUT,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/user/history/problem/${problemId}/title","src/components/storage-section.tsx",173,""
POST,"https://${projectId}.supabase.co/functions/v1/make-server-3a80e39f/upload","src/components/upload-section.tsx",72,""